,Cost,# of Atoms,Peak OD, [Optical pump],Opt. pump Freq [Optical pump],Opt. pump Ampl [Optical pump]
88,771.3811620518344,26362486.344799798,2.9355760155698194,0.30000000000000004,86.0,0.25
9,815.3217233711877,26322938.536421195,2.9905894467141874,0.8,89.0,0.35000000000000003
40,734.9328631667343,26280334.58797423,2.8891932007662855,0.1,95.0,0.2
28,702.5749768760036,26250405.240458716,2.846369316881491,0.9,93.0,0.4
34,728.3245516223486,26198140.903265107,2.8811091699324023,0.5,85.0,0.0
47,646.0306554830229,25913798.56704875,2.7702465979375934,1.0,87.0,0.1
19,685.6960777293099,25898424.58007459,2.8259325613390507,0.6,89.0,0.0
13,716.7661739386236,25833322.129474092,2.868467620205696,0.1,87.0,0.05
15,687.7602377540252,25832296.93250829,2.8292475928264866,0.2,92.0,0.45
10,762.3881756918739,25788671.251744986,2.928417047372564,0.30000000000000004,94.0,0.15000000000000002
29,684.342230041967,25757505.267594606,2.825098994597275,0.9,95.0,0.5
22,620.6771130680671,25741838.879189704,2.7347360638492795,1.0,91.0,0.30000000000000004
31,668.5057924644722,25685923.335800625,2.803656891797302,0.7000000000000001,92.0,0.25
30,714.5405879668565,25671698.192754336,2.8666949454226045,0.30000000000000004,85.0,0.35000000000000003
95,778.0900990126223,25639523.428070374,2.9495252806299628,0.2,86.0,0.1
41,649.0413248398908,25606666.606682867,2.7767497413002715,0.8,90.0,0.30000000000000004
44,597.2934253161488,25495080.294070017,2.701686742127918,0.9,93.0,0.15000000000000002
7,740.4318984958726,25426711.693336476,2.902764970838688,0.6,86.0,0.05
26,702.4920450618132,25416038.028166395,2.852393652895639,0.4,86.0,0.45
20,636.3266109544196,25394006.11893601,2.7600320866019614,0.9,87.0,0.45
61,709.0408556935328,25362560.67419606,2.8616316738795664,0.4,95.0,0.2
89,661.4001376232567,25345033.136022244,2.7961776410963743,0.5,94.0,0.1
77,685.2790227735788,25323991.156848818,2.8295879281434106,0.2,86.0,0.0
36,626.7105648678103,25277172.30750079,2.7469028690433763,0.6,93.0,0.15000000000000002
83,643.9379091733783,25260903.108619202,2.771964122626211,0.7000000000000001,93.0,0.5
46,662.8038975639481,25131151.267153017,2.799735940795556,0.2,92.0,0.05
18,619.9419263682997,25076751.78673442,2.7384310084815544,1.0,88.0,0.2
11,680.5938862102718,25026838.927383512,2.8253472997509705,0.30000000000000004,86.0,0.4
49,621.6536998390228,24993333.480813965,2.741558125599795,0.7000000000000001,88.0,0.35000000000000003
45,640.6353595518227,24988180.431124255,2.7692206174563836,0.8,89.0,0.1
92,606.4713995588928,24794013.784145277,2.7205073596854903,0.7000000000000001,93.0,0.4
43,633.0535749453809,24741359.842947587,2.76007898079721,0.7000000000000001,90.0,0.2
73,673.5903822301774,24715036.6992455,2.8179771715821973,0.30000000000000004,87.0,0.05
21,652.5093413363601,24689389.420617703,2.7884604317983746,0.4,88.0,0.15000000000000002
78,629.9857086390014,24649900.251030408,2.7562936921328096,0.7000000000000001,95.0,0.15000000000000002
75,583.5349286064563,24585266.003248703,2.6872840160703224,0.9,93.0,0.05
68,669.0701820164235,24512615.372545056,2.813201679257423,0.4,91.0,0.35000000000000003
54,667.8125243596035,24485770.53660699,2.8116433090860014,0.2,85.0,0.2
74,592.9209347821022,24446267.78713239,2.7026370001837385,0.8,90.0,0.30000000000000004
38,597.1167469458247,24384338.43717502,2.709455279195628,0.6,90.0,0.05
87,644.2392476668027,24357213.13995531,2.7791385062216487,0.4,86.0,0.1
91,577.1827228441307,24309739.575042505,2.6795100975156254,0.9,86.0,0.30000000000000004
57,587.2421482303525,24298929.42331718,2.695067058790491,0.9,93.0,0.45
50,643.0976353897007,24253683.01395117,2.7782848806771057,0.30000000000000004,87.0,0.25
48,593.1457645116487,24188800.805594444,2.70488733907462,0.8,85.0,0.15000000000000002
27,630.4406962841808,24170748.967120513,2.7605676910169015,0.6,88.0,0.35000000000000003
14,587.5400448875085,24149159.624167327,2.6966340866451617,0.8,93.0,0.1
16,592.7709729753908,24135470.49569398,2.7047155051266634,0.8,92.0,0.5
6,654.1130692214924,24097858.259765957,2.7952589680318973,1.0,95.0,0.0
80,621.8159140601005,24067906.580772787,2.748702456355856,0.7000000000000001,90.0,0.1
56,647.7379912762581,23888558.205226343,2.78776925512133,0.1,88.0,0.4
82,608.2351997317056,23801334.43206864,2.730570982375623,0.9,91.0,0.15000000000000002
76,624.347116258526,23747554.41448174,2.7548872261472237,0.30000000000000004,91.0,0.35000000000000003
55,567.3220346356753,23667001.07911122,2.668927195093288,0.9,93.0,0.4
17,582.2951208172009,23636298.2637797,2.692436577609733,0.7000000000000001,94.0,0.0
53,583.4279174674116,23616138.367484387,2.694334682464475,0.9,90.0,0.4
42,571.588498195034,23563912.27758788,2.676379772993195,0.6,92.0,0.1
60,567.0291455569362,23555361.434394673,2.669309193265542,0.8,87.0,0.1
4,644.6398652971834,23494672.10658834,2.786404576215014,0.9,90.0,0.15000000000000002
51,572.6829009155301,23430078.157953538,2.679104037736566,0.8,93.0,0.1
59,554.8435554545242,23384148.801389433,2.6513384680878582,0.7000000000000001,91.0,0.35000000000000003
79,580.976068515454,23292997.236316126,2.6930277606183384,0.5,95.0,0.45
66,572.4823161571306,23076209.851771157,2.6815106739462826,0.2,92.0,0.05
85,556.0419035962318,23049126.3566559,2.6557998964077827,0.6,91.0,0.25
86,597.4061066841195,23037587.228343293,2.720177401775622,0.4,94.0,0.15000000000000002
63,578.1804421541259,22705429.03812871,2.6932851677324865,0.2,86.0,0.35000000000000003
52,535.9107239838162,22672763.789112978,2.626235761623377,0.9,88.0,0.2
64,522.6048964298159,22583366.316644225,2.6050043410720445,0.8,91.0,0.15000000000000002
3,605.8569915754133,22451025.911200132,2.7376474479979476,0.4,92.0,0.05
65,536.9356734037847,22446282.612148277,2.629668571583381,0.7000000000000001,93.0,0.35000000000000003
58,522.8496955156263,22367763.798786946,2.6070779590231323,0.5,85.0,0.0
84,526.2070316644337,21966585.659807783,2.615800832598475,1.0,94.0,0.15000000000000002
81,448.0997731430321,20696361.086630557,2.489251662674043,1.0,86.0,0.45
2,518.8173887480933,20568094.873702135,2.6149421727453066,0.8,93.0,0.45
1,540.1371032014503,19984047.112418998,2.6553762264967062,0.5,95.0,0.45
0,20.982831308035305,9303189.689547855,0.946354137510124,[0.3],[85.],[0.4]
